Name,Województwo
Jelenia Góra,Dolnośląskie
Kamiennogórski,Dolnośląskie
Dzierżoniowski,Dolnośląskie
Legnica,Dolnośląskie
Wołowski,Dolnośląskie
Świdnicki,Dolnośląskie
Oleśnicki,Dolnośląskie
Strzeliński,Dolnośląskie
Brzeski,Dolnośląskie
Kłodzki,Dolnośląskie
Ostrowski,Dolnośląskie
Legnicki,Dolnośląskie
Lubański,Dolnośląskie
Karkonoski,Dolnośląskie
Ząbkowicki,Dolnośląskie
Nyski,Dolnośląskie
Lwówecki,Dolnośląskie
Wałbrzyski,Dolnośląskie
Namysłowski,Dolnośląskie
Wałbrzych,Dolnośląskie
Sępoleński,Wielkopolskie
Kościański,Wielkopolskie
Poznański,Wielkopolskie
Wągrowiecki,Wielkopolskie
Żniński,Wielkopolskie
Radziejowski,Wielkopolskie
Nakielski,Wielkopolskie
Konin,Wielkopolskie
Poznań,Wielkopolskie
Śremski,Wielkopolskie
Obornicki,Wielkopolskie
Leszno,Wielkopolskie
Kolski,Wielkopolskie
Słupecki,Wielkopolskie
Średzki,Wielkopolskie
Jarociński,Wielkopolskie
Łęczycki,Wielkopolskie
Wrzesiński,Wielkopolskie
Gnieźnieński,Wielkopolskie
Koniński,Wielkopolskie
Pleszewski,Wielkopolskie
Mogileński,Wielkopolskie
Poddębicki,Wielkopolskie
Turecki,Wielkopolskie
Inowrocławski,Wielkopolskie
Kutnowski,Wielkopolskie
Grodziski,Wielkopolskie
Szamotulski,Wielkopolskie
Chodzieski,Wielkopolskie
Kluczborski,Wielkopolskie
Gostyński,Wielkopolskie
Kaliski,Wielkopolskie
Kalisz,Wielkopolskie
Włocławski,Wielkopolskie
Sieradzki,Wielkopolskie
Wieruszowski,Wielkopolskie
Elbląski,Pomorskie
Gdańsk,Pomorskie
Wejherowski,Pomorskie
Starogardzki,Pomorskie
Kościerski,Pomorskie
Tucholski,Pomorskie
Ostródzki,Pomorskie
Malborski,Pomorskie
Sztumski,Pomorskie
Kwidzyński,Pomorskie
Chojnicki,Pomorskie
Kartuski,Pomorskie
Sopot,Pomorskie
Nowodworski,Pomorskie
Pucki,Pomorskie
Słupsk,Pomorskie
Iławski,Pomorskie
Grudziądzki,Pomorskie
Lęborski,Pomorskie
Tczewski,Pomorskie
Gdański,Pomorskie
Świecki,Pomorskie
Gdynia,Pomorskie
Braniewski,Pomorskie
Głubczycki,Opolskie
Strzelecki,Opolskie
Opole,Opolskie
Kędzierzyńsko-Kozielski,Opolskie
Raciborski,Opolskie
Prudnicki,Opolskie
Opolski,Opolskie
Tarnogórski,Opolskie
Oleski,Opolskie
Wieluński,Opolskie
Kłobucki,Opolskie
Lubliniecki,Opolskie
Krapkowicki,Opolskie
Gliwicki,Opolskie
Lipnowski,Kujawsko-Pomorskie
Chełmiński,Kujawsko-Pomorskie
Sierpecki,Kujawsko-Pomorskie
Gostyniński,Kujawsko-Pomorskie
Brodnicki,Kujawsko-Pomorskie
Toruń,Kujawsko-Pomorskie
Działdowski,Kujawsko-Pomorskie
Grudziądz,Kujawsko-Pomorskie
Aleksandrowski,Kujawsko-Pomorskie
Bydgoski,Kujawsko-Pomorskie
Rypiński,Kujawsko-Pomorskie
Płocki,Kujawsko-Pomorskie
Włocławek,Kujawsko-Pomorskie
Wąbrzeski,Kujawsko-Pomorskie
Golubsko-Dobrzyński,Kujawsko-Pomorskie
Bydgoszcz,Kujawsko-Pomorskie
Toruński,Kujawsko-Pomorskie
Żuromiński,Kujawsko-Pomorskie
Nowomiejski,Kujawsko-Pomorskie
Rybnicki,Śląskie
Siemianowice Śląskie,Śląskie
Bytom,Śląskie
Żywiecki,Śląskie
Włoszczowski,Śląskie
Gliwice,Śląskie
Cieszyński,Śląskie
Piekary Śląskie,Śląskie
Pajęczański,Śląskie
Radomszczański,Śląskie
Świętochłowice,Śląskie
Zabrze,Śląskie
Częstochowa,Śląskie
Wadowicki,Śląskie
Jędrzejowski,Śląskie
Rybnik,Śląskie
Dąbrowa Górnicza,Śląskie
Suski,Śląskie
Mikołowski,Śląskie
Tychy,Śląskie
Olkuski,Śląskie
Oświęcimski,Śląskie
Bielski,Śląskie
Jastrzębie-Zdrój,Śląskie
Będziński,Śląskie
Sosnowiec,Śląskie
Myszkowski,Śląskie
Bielsko-Biała,Śląskie
Mysłowice,Śląskie
Bieruńsko-Lędziński,Śląskie
Katowice,Śląskie
Żory,Śląskie
Jaworzno,Śląskie
Częstochowski,Śląskie
Zawierciański,Śląskie
Wodzisławski,Śląskie
Pszczyński,Śląskie
Miechowski,Śląskie
Ruda Śląska,Śląskie
Chorzów,Śląskie
Chrzanowski,Śląskie
Sochaczewski,Łódzkie
Skierniewice,Łódzkie
Łódź,Łódzkie
Piotrkowski,Łódzkie
Opoczyński,Łódzkie
Zgierski,Łódzkie
Żyrardowski,Łódzkie
Pabianicki,Łódzkie
Bełchatowski,Łódzkie
Łaski,Łódzkie
Zduńskowolski,Łódzkie
Piotrków Trybunalski,Łódzkie
Grójecki,Łódzkie
Łowicki,Łódzkie
Skierniewicki,Łódzkie
Łódzki wschodni,Łódzkie
Przysuski,Łódzkie
Tomaszowski,Łódzkie
Brzeziński,Łódzkie
Konecki,Łódzkie
Rawski,Łódzkie
Nowosądecki,Małopolskie
Tarnów,Małopolskie
Jasielski,Małopolskie
Brzeski,Małopolskie
Kraków,Małopolskie
Mielecki,Małopolskie
Gorlicki,Małopolskie
Staszowski,Małopolskie
Dąbrowski,Małopolskie
Tarnowski,Małopolskie
Bocheński,Małopolskie
Krakowski,Małopolskie
Limanowski,Małopolskie
Myślenicki,Małopolskie
Nowy Sącz,Małopolskie
Buski,Małopolskie
Tatrzański,Małopolskie
Nowotarski,Małopolskie
Kazimierski,Małopolskie
Dębicki,Małopolskie
Pińczowski,Małopolskie
Proszowicki,Małopolskie
Wielicki,Małopolskie
Ostrołęcki,Warmińsko-Mazurskie
Elbląg,Warmińsko-Mazurskie
Giżycki,Warmińsko-Mazurskie
Mrągowski,Warmińsko-Mazurskie
Olsztyński,Warmińsko-Mazurskie
Piski,Warmińsko-Mazurskie
Olsztyn,Warmińsko-Mazurskie
Suwalski,Warmińsko-Mazurskie
Olecki,Warmińsko-Mazurskie
Lidzbarski,Warmińsko-Mazurskie
Ełcki,Warmińsko-Mazurskie
Kętrzyński,Warmińsko-Mazurskie
Węgorzewski,Warmińsko-Mazurskie
Mławski,Warmińsko-Mazurskie
Szczycieński,Warmińsko-Mazurskie
Gołdapski,Warmińsko-Mazurskie
Kolneński,Warmińsko-Mazurskie
Przasnyski,Warmińsko-Mazurskie
Bartoszycki,Warmińsko-Mazurskie
Augustowski,Warmińsko-Mazurskie
Grajewski,Warmińsko-Mazurskie
Nidzicki,Warmińsko-Mazurskie
Warszawski zachodni,Mazowieckie
Ostrowiecki,Mazowieckie
Skarżyski,Mazowieckie
Łosicki,Mazowieckie
Grodziski,Mazowieckie
Łukowski,Mazowieckie
Radom,Mazowieckie
Siedlce,Mazowieckie
Pułtuski,Mazowieckie
Bialski,Mazowieckie
Garwoliński,Mazowieckie
Wołomiński,Mazowieckie
Ciechanowski,Mazowieckie
Ostrowski,Mazowieckie
Białobrzeski,Mazowieckie
Otwocki,Mazowieckie
Kozienicki,Mazowieckie
Wysokomazowiecki,Mazowieckie
Opatowski,Mazowieckie
Legionowski,Mazowieckie
Zambrowski,Mazowieckie
Sokołowski,Mazowieckie
Miński,Mazowieckie
Siemiatycki,Mazowieckie
Łomżyński,Mazowieckie
Piaseczyński,Mazowieckie
Nowodworski,Mazowieckie
Makowski,Mazowieckie
Puławski,Mazowieckie
Ostrołęka,Mazowieckie
Wyszkowski,Mazowieckie
Pruszkowski,Mazowieckie
Zwoleński,Mazowieckie
Węgrowski,Mazowieckie
Radomski,Mazowieckie
Szydłowiecki,Mazowieckie
Warszawa,Mazowieckie
Płoński,Mazowieckie
Siedlecki,Mazowieckie
Lipski,Mazowieckie
Opolski,Mazowieckie
Rycki,Mazowieckie
Płock,Mazowieckie
Starachowicki,Mazowieckie
Sandomierski,Świętokrzyskie
Kielecki,Świętokrzyskie
Stalowowolski,Świętokrzyskie
Tarnobrzeski,Świętokrzyskie
Kielce,Świętokrzyskie
Kraśnicki,Świętokrzyskie
Tarnobrzeg,Świętokrzyskie
Krośnieński,Podkarpackie
Biłgorajski,Podkarpackie
Sanocki,Podkarpackie
Przemyśl,Podkarpackie
Rzeszów,Podkarpackie
Ropczycko-Sędziszowski,Podkarpackie
Łańcucki,Podkarpackie
Niżański,Podkarpackie
Przeworski,Podkarpackie
Brzozowski,Podkarpackie
Rzeszowski,Podkarpackie
Kolbuszowski,Podkarpackie
Leżajski,Podkarpackie
Krosno,Podkarpackie
Janowski,Podkarpackie
Tomaszowski,Podkarpackie
Leski,Podkarpackie
Przemyski,Podkarpackie
Jarosławski,Podkarpackie
Lubaczowski,Podkarpackie
Strzyżowski,Podkarpackie
Bieszczadzki,Podkarpackie
Bielski,Podlaskie
Łomża,Podlaskie
Moniecki,Podlaskie
Białystok,Podlaskie
Białostocki,Podlaskie
Sokólski,Podlaskie
Hajnowski,Podlaskie
Suwałki,Podlaskie
Sejneński,Podlaskie
Hrubieszowski,Lubelskie
Lubelski,Lubelskie
Włodawski,Lubelskie
Chełm,Lubelskie
Krasnostawski,Lubelskie
Zamość,Lubelskie
Biała Podlaska,Lubelskie
Chełmski,Lubelskie
Parczewski,Lubelskie
Świdnicki,Lubelskie
Lublin,Lubelskie
Lubartowski,Lubelskie
Radzyński,Lubelskie
Zamojski,Lubelskie
Łęczyński,Lubelskie
